Tablespace	Total SizeMb	UsedMb	FreeMb	Free
SYSAUX	5120	2587.43	2532.56	49.46
TS_AR_D	10626	5506.25	5119.75	48.18
TS_AP_D	6425	3348.37	3076.62	47.88
TS_FPIM_D	6701	3630.0	3071.0	45.82
ABRLD	6866	3785.18	3080.81	44.87
DEF_INDE_TS	10538	6050.31	4487.68	42.58
TS_INV_D	3	1.75	1.25	41.66
USERS	1260	745.68	514.31	40.81
SYNCHRO_DAT	19974	12106.81	7867.18	39.38
TOOLS	20	12.12	7.87	39.37
SYSTEM	5180	3210.06	1969.93	38.02
TS_INT_D	45195	28737.06	16457.93	36.41
ITQ_INDE_TS	61738	42277.0	19461.0	31.52
SYS_USER_TS	2	1.37	0.62	31.25
TS_FISCAL_I_10	33484	23037.5	10446.5	31.19
STATSPACK	2236	1541.75	694.25	31.04
TS_FISCAL_D_1	34658	24240.18	10417.81	30.05
TS_DCR_D	62	43.68	18.31	29.53
TS_AR_I	820	579.18	240.81	29.36
SNP_LOGS_TS	143	101.62	41.37	28.93
UNI_DATA_TS	109	77.56	31.43	28.84
TS_DCR_I	46	32.93	13.06	28.39
TS_ERPR11_D	78339	57859.5	20479.5	26.14
TS_FISCAL_I	59779	44419.0	15360.0	25.69
TS_FISCAL_I_50	66425	51730.25	14694.75	22.12
ITQ_DATA_TS	36024	28255.62	7768.37	21.56
SYNCHRO_IND	11349	8980.68	2368.31	20.86
TS_INFORMIX_D	374626	298248.81	76377.18	20.38
DEF_DATA_TS	3779	3030.43	748.56	19.8
TS_FISCAL_D	161183	129512.37	31670.62	19.64
TS_FISCAL_I_1	4251	3436.12	814.87	19.16
